33,script-1582423851.7936025-33,--pad_size=5 --tag_threshold=80 --layer_capacity=64 --pooling_layer=GlobalAveragePooling --batch_size=256 --learning_rate=0.1 --dropout_rate=0.2 --l2_reg_factor=0.1,0.720994184208935
36,script-1582424975.0388598-36,--pad_size=2 --tag_threshold=80 --layer_capacity=128 --pooling_layer=GlobalAveragePooling --batch_size=256 --learning_rate=0.1 --dropout_rate=0.1 --l2_reg_factor=0.0,0.7036475080752194
21,script-1582420309.002441-21,--pad_size=5 --tag_threshold=80 --layer_capacity=64 --pooling_layer=GlobalAveragePooling --batch_size=256 --learning_rate=0.001 --dropout_rate=0.2 --l2_reg_factor=0.0,0.7244084720618392
28,script-1582422073.579837-28,--pad_size=2 --tag_threshold=20 --layer_capacity=64 --pooling_layer=GlobalAveragePooling --batch_size=128 --learning_rate=0.1 --dropout_rate=0.3 --l2_reg_factor=0.0,0.7115785466846026
35,script-1582424586.4613068-35,--pad_size=160 --tag_threshold=40 --layer_capacity=128 --pooling_layer=GlobalMaxPool --batch_size=256 --learning_rate=0.001 --dropout_rate=0.0 --l2_reg_factor=0.001,0.7518084518962176
23,script-1582420758.1821222-23,--pad_size=20 --tag_threshold=40 --layer_capacity=128 --pooling_layer=GlobalAveragePooling --batch_size=256 --learning_rate=0.001 --dropout_rate=0.2 --l2_reg_factor=0.1,0.7286681401766146
26,script-1582421518.8031313-26,--pad_size=160 --tag_threshold=10 --layer_capacity=128 --pooling_layer=GlobalMaxPool --batch_size=256 --learning_rate=0.1 --dropout_rate=0.2 --l2_reg_factor=0.0001,0.7463256069610379
31,script-1582423174.5054286-31,--pad_size=20 --tag_threshold=10 --layer_capacity=128 --pooling_layer=GlobalMaxPool --batch_size=256 --learning_rate=0.01 --dropout_rate=0.4 --l2_reg_factor=0.01,0.7408229647991887
34,script-1582424216.8854048-34,--pad_size=10 --tag_threshold=80 --layer_capacity=64 --pooling_layer=GlobalAveragePooling --batch_size=256 --learning_rate=0.01 --dropout_rate=0.3 --l2_reg_factor=0.0,0.7256485951818546
30,script-1582422842.3107224-30,--pad_size=20 --tag_threshold=5 --layer_capacity=128 --pooling_layer=GlobalAveragePooling --batch_size=128 --learning_rate=0.001 --dropout_rate=0.1 --l2_reg_factor=0.1,0.7252065060289998
10,script-1582418415.2202828-10,--pad_size=5 --tag_threshold=2 --layer_capacity=128 --pooling_layer=GlobalMaxPool --batch_size=256 --learning_rate=0.01 --dropout_rate=0.1 --l2_reg_factor=0.0001,0.724859561880695
2,script-1582417839.6395235-2,--pad_size=5 --tag_threshold=40 --layer_capacity=128 --pooling_layer=GlobalAveragePooling --batch_size=256 --learning_rate=0.1 --dropout_rate=0.4 --l2_reg_factor=0.01,0.7273755894428456
24,script-1582421001.2224417-24,--pad_size=160 --tag_threshold=40 --layer_capacity=128 --pooling_layer=GlobalAveragePooling --batch_size=256 --learning_rate=0.001 --dropout_rate=0.2 --l2_reg_factor=0.1,0.7050592022407257
0,script-1582458009.542888-0,--pad_size=20 --tag_threshold=20 --layer_capacity=128 --pooling_layer=GlobalMaxPool --batch_size=128 --learning_rate=0.1 --dropout_rate=0.4 --l2_reg_factor=0.01,0.7403504108819138
